Category,Hierarchy,Mapped
Beds,Beds,TRUE
Bowls & Lick Mats,Bowls & Lick Mats,TRUE
Cat,Cat,TRUE
 -->  Cat Food,Cat - Cat Food,TRUE
 -- -->  Canned,Cat - Cat Food - Canned,TRUE
 -- -- -->  Discontinued,Cat - Cat Food - Canned - Discontinued,
 -- -- -- -->  Essence,Cat - Cat Food - Canned - Discontinued - Essence,
 -- -- -- -->  First Mate,Cat - Cat Food - Canned - Discontinued - First Mate,
 -- -- -->  Fromm,Cat - Cat Food - Canned - Fromm,TRUE
 -- -- -->  Fussie Cat,Cat - Cat Food - Canned - Fussie Cat,TRUE
 -- -- -->  Koha,Cat - Cat Food - Canned - Koha,TRUE
 -- -- -->  Nulo,Cat - Cat Food - Canned - Nulo,TRUE
 -- -- -->  Rawz,Cat - Cat Food - Canned - Rawz,
 -- -- -->  Stella & Chewy's,Cat - Cat Food - Canned - Stella & Chewy's,TRUE
 -- -- -->  Weruva,Cat - Cat Food - Canned - Weruva,TRUE
 -- -->  Cat Food Toppers,Cat - Cat Food - Cat Food Toppers,TRUE
 -- -->  Dry Kibble,Cat - Cat Food - Dry Kibble,TRUE
 -- -- -->  Farmina,Cat - Cat Food - Dry Kibble - Farmina,TRUE
 -- -- -->  FirstMate,Cat - Cat Food - Dry Kibble - FirstMate,TRUE
 -- -- -->  Fromm,Cat - Cat Food - Dry Kibble - Fromm,TRUE
 -- -- -->  Fussie Cat,Cat - Cat Food - Dry Kibble - Fussie Cat,TRUE
 -- -- -->  Honest Kitchen,Cat - Cat Food - Dry Kibble - Honest Kitchen,TRUE
 -- -- -->  Inception,Cat - Cat Food - Dry Kibble - Inception,TRUE
 -- -- -->  Nulo,Cat - Cat Food - Dry Kibble - Nulo,TRUE
 -- -- -->  Open Farm,Cat - Cat Food - Dry Kibble - Open Farm,TRUE
 -- -- -->  Orijen,Cat - Cat Food - Dry Kibble - Orijen,TRUE
 -- -- -->  Rawz,Cat - Cat Food - Dry Kibble - Rawz,TRUE
 -- -- -->  Stella & Chewy's,Cat - Cat Food - Dry Kibble - Stella & Chewy's,TRUE
 -- -- -->  Taste of the Wild,Cat - Cat Food - Dry Kibble - Taste of the Wild,TRUE
 -- -- -->  Wholesomes,Cat - Cat Food - Dry Kibble - Wholesomes,TRUE
 -- -->  Freeze-Dried,Cat - Cat Food - Freeze-Dried,TRUE
 -- -->  Frozen,Cat - Cat Food - Frozen,TRUE
 -- -- -->  Discontinued,Cat - Cat Food - Frozen - Discontinued,
 -- -- -- -->  Stella and Chewy's,Cat - Cat Food - Frozen - Discontinued - Stella and Chewy's,
 -- -- -- -->  Steve's Real Food,Cat - Cat Food - Frozen - Discontinued - Steve's Real Food,
 -- -- -->  My Perfect Pet,Cat - Cat Food - Frozen - My Perfect Pet,TRUE
 -- -- -->  Primal,Cat - Cat Food - Frozen - Primal,TRUE
 -- -- -->  Smallbatch,Cat - Cat Food - Frozen - Smallbatch,TRUE
